crime_count,inc_date,offense_category
3,2017-11-12T00:00:00.000,ASSAULT
1,2017-11-13T00:00:00.000,LARCENY
1,2017-11-14T00:00:00.000,ASSAULT
2,2017-11-15T00:00:00.000,LARCENY
2,2017-11-17T00:00:00.000,STOLEN VEHICLE
1,2017-11-18T00:00:00.000,ASSAULT
4,2017-11-18T00:00:00.000,LARCENY
1,2017-11-18T00:00:00.000,ROBBERY
1,2017-11-20T00:00:00.000,ROBBERY
5,2017-11-21T00:00:00.000,LARCENY
1,2017-11-22T00:00:00.000,ASSAULT
1,2017-11-22T00:00:00.000,LARCENY
1,2017-11-23T00:00:00.000,ASSAULT
6,2017-11-25T00:00:00.000,LARCENY
2,2017-11-26T00:00:00.000,ASSAULT
1,2017-11-26T00:00:00.000,LARCENY
1,2017-11-26T00:00:00.000,ROBBERY
1,2017-11-27T00:00:00.000,LARCENY
1,2017-11-27T00:00:00.000,STOLEN VEHICLE
1,2017-11-28T00:00:00.000,ASSAULT
3,2017-11-28T00:00:00.000,LARCENY
1,2017-11-29T00:00:00.000,ASSAULT
1,2017-11-29T00:00:00.000,LARCENY
3,2017-12-01T00:00:00.000,LARCENY
2,2017-12-02T00:00:00.000,ASSAULT
3,2017-12-02T00:00:00.000,LARCENY
1,2017-12-02T00:00:00.000,ROBBERY
1,2017-12-03T00:00:00.000,ASSAULT
1,2017-12-03T00:00:00.000,LARCENY
2,2017-12-04T00:00:00.000,LARCENY
1,2017-12-04T00:00:00.000,ROBBERY
1,2017-12-05T00:00:00.000,LARCENY
1,2017-12-05T00:00:00.000,STOLEN VEHICLE
2,2017-12-06T00:00:00.000,LARCENY
2,2017-12-08T00:00:00.000,ASSAULT
2,2017-12-08T00:00:00.000,LARCENY
1,2017-12-08T00:00:00.000,STOLEN VEHICLE
1,2017-12-09T00:00:00.000,ASSAULT
1,2017-12-09T00:00:00.000,LARCENY
1,2017-12-11T00:00:00.000,LARCENY
1,2017-12-12T00:00:00.000,ASSAULT
1,2017-12-13T00:00:00.000,ASSAULT
1,2017-12-15T00:00:00.000,LARCENY
2,2017-12-16T00:00:00.000,ASSAULT
5,2017-12-16T00:00:00.000,LARCENY
3,2017-12-17T00:00:00.000,LARCENY
1,2017-12-18T00:00:00.000,ASSAULT
1,2017-12-18T00:00:00.000,LARCENY
2,2017-12-19T00:00:00.000,ASSAULT
1,2017-12-20T00:00:00.000,ASSAULT
1,2017-12-20T00:00:00.000,LARCENY
1,2017-12-20T00:00:00.000,STOLEN VEHICLE
1,2017-12-21T00:00:00.000,LARCENY
1,2017-12-22T00:00:00.000,LARCENY
1,2017-12-22T00:00:00.000,ROBBERY
2,2017-12-23T00:00:00.000,ASSAULT
4,2017-12-23T00:00:00.000,LARCENY
2,2017-12-25T00:00:00.000,LARCENY
2,2017-12-26T00:00:00.000,ASSAULT
1,2017-12-26T00:00:00.000,LARCENY
1,2017-12-27T00:00:00.000,ASSAULT
1,2017-12-27T00:00:00.000,LARCENY
1,2017-12-28T00:00:00.000,ASSAULT
5,2017-12-28T00:00:00.000,LARCENY
2,2017-12-29T00:00:00.000,ASSAULT
3,2017-12-29T00:00:00.000,LARCENY
4,2017-12-30T00:00:00.000,LARCENY
